,id,type,path,subtype,permissions,epoch,source,version,local address,remote port,protocol,remote address,local port,net namespace,memory address,size,tgid,read fd,write fd,svc
15,a14668ae49f6ee8b6355891156206d37,Artifact,,network socket,,0.0,syscall,0,127.0.0.1,7070.0,tcp,0.0.0.0,55102.0,4026532899.0,,,,,,cartservice
16,87ae26cb62fd1b3481c32d1e4f60a4ba,Artifact,,network socket,,0.0,syscall,0,0000:0000:0000:0000:0000:0000:0000:0000,55102.0,tcp,0000:0000:0000:0000:0000:FFFF:7F00:0001,7070.0,-1.0,,,,,,cartservice
17,d5e6ecbfd578d56a4fd2a52574557af2,Artifact,,network socket,,0.0,syscall,0,0000:0000:0000:0000:0000:0000:0000:0000,55844.0,tcp,0000:0000:0000:0000:0000:FFFF:AC1F:1EE3,8080.0,-1.0,,,,,,frontend
18,703a57eb0eaf1afe71b4b4ae39f694c6,Artifact,,network socket,,0.0,syscall,0,0000:0000:0000:0000:0000:0000:0000:0000,43688.0,tcp,0000:0000:0000:0000:0000:FFFF:7F00:0001,7000.0,-1.0,,,,,,currencyservice
19,465862b6f8b03b3e88e9cb462132dced,Artifact,,network socket,,0.0,syscall,0,127.0.0.1,7000.0,tcp,0.0.0.0,43688.0,4026532583.0,,,,,,currencyservice
20,088dabc017ff04ffbfe67a32b98e8944,Artifact,,network socket,,0.0,syscall,0,127.0.0.1,50051.0,tcp,0.0.0.0,36046.0,4026532382.0,,,,,,paymentservice
21,fb507055b141b3fd37433c97e4cf05cb,Artifact,,network socket,,0.0,syscall,0,0000:0000:0000:0000:0000:0000:0000:0000,36046.0,tcp,0000:0000:0000:0000:0000:FFFF:7F00:0001,50051.0,-1.0,,,,,,paymentservice
22,90dd4bea017d4880ad69f8b359bd601f,Artifact,,network socket,,0.0,syscall,0,127.0.0.1,3550.0,tcp,0.0.0.0,34350.0,4026532449.0,,,,,,productcatalogservice
23,d5a7e866af60ad8ea6677f6d8309b1ed,Artifact,,network socket,,0.0,syscall,0,0000:0000:0000:0000:0000:0000:0000:0000,34350.0,tcp,0000:0000:0000:0000:0000:FFFF:7F00:0001,3550.0,-1.0,,,,,,productcatalogservice
24,29a8df94fc46d2ae387d5d2ae0d668dc,Artifact,,network socket,,0.0,syscall,0,127.0.0.1,7070.0,tcp,0.0.0.0,55106.0,4026532899.0,,,,,,cartservice
25,8f81ec5123339f726e81185572c9074c,Artifact,,network socket,,0.0,syscall,0,0000:0000:0000:0000:0000:0000:0000:0000,55106.0,tcp,0000:0000:0000:0000:0000:FFFF:7F00:0001,7070.0,-1.0,,,,,,cartservice
26,8f73a750905117f3f45810eea79c923e,Artifact,,network socket,,0.0,syscall,0,127.0.0.1,3550.0,tcp,0.0.0.0,34356.0,4026532449.0,,,,,,productcatalogservice
27,7428adc6445392a6eb8066a7f3d9f3ec,Artifact,,network socket,,0.0,syscall,0,0000:0000:0000:0000:0000:0000:0000:0000,34356.0,tcp,0000:0000:0000:0000:0000:FFFF:7F00:0001,3550.0,-1.0,,,,,,productcatalogservice
28,0b0919bd7c3db979f75592d01b508f61,Artifact,,network socket,,0.0,syscall,0,127.0.0.1,7000.0,tcp,0.0.0.0,43704.0,4026532583.0,,,,,,currencyservice
29,0d5dc426db6fba38aa2fad35c45e81fc,Artifact,,network socket,,0.0,syscall,0,0000:0000:0000:0000:0000:0000:0000:0000,43704.0,tcp,0000:0000:0000:0000:0000:FFFF:7F00:0001,7000.0,-1.0,,,,,,currencyservice
30,bcebe7b8dd2fe889e103dfa10d77edc6,Artifact,,network socket,,0.0,syscall,0,127.0.0.1,50051.0,tcp,0.0.0.0,36050.0,4026532967.0,,,,,,paymentservice
31,7bc945978b4aadfe4d7f2f75f0ec7886,Artifact,,network socket,,0.0,syscall,0,0000:0000:0000:0000:0000:0000:0000:0000,36050.0,tcp,0000:0000:0000:0000:0000:FFFF:7F00:0001,50051.0,-1.0,,,,,,paymentservice
