,from,to,type,event id,flags,source,time,operation,protection,advice,pid
57,cdf7c1c7f332df7c2245e9133db0caab,0ef366a12c22d68dcc35e410ab69719e,WasGeneratedBy,1370,,syscall,1702119793.644,mmap (write),3.0,,
58,13d22d989a2d479d31e7f40264ea29e6,0ef366a12c22d68dcc35e410ab69719e,WasTriggeredBy,1371,CLONE_SIGHAND|CLONE_SETTLS|CLONE_SYSVSEM|CLONE_FS|CLONE_THREAD|CLONE_VM|CLONE_FILES,syscall,1702119793.644,clone,,,
59,83b494a549671e35e45cb6426dfd6480,711e85fad0a8d268142f6e203dae89f0,WasTriggeredBy,1372,CLONE_SIGHAND|CLONE_SETTLS|CLONE_SYSVSEM|CLONE_FS|CLONE_THREAD|CLONE_VM|CLONE_FILES,syscall,1702119793.644,clone,,,
60,bb660e9cd014844f13ca79220e801138,711e85fad0a8d268142f6e203dae89f0,WasTriggeredBy,1373,CLONE_SIGHAND|CLONE_SETTLS|CLONE_SYSVSEM|CLONE_FS|CLONE_THREAD|CLONE_VM|CLONE_FILES,syscall,1702119793.644,clone,,,
61,6fc248d2f6fecbd3de14f9512cc4b771,711e85fad0a8d268142f6e203dae89f0,WasTriggeredBy,1374,CLONE_SIGHAND|CLONE_SETTLS|CLONE_SYSVSEM|CLONE_FS|CLONE_THREAD|CLONE_VM|CLONE_FILES,syscall,1702119793.644,clone,,,
62,4cae72d0437800d5a4a478a0d8213f90,711e85fad0a8d268142f6e203dae89f0,WasTriggeredBy,1375,CLONE_SIGHAND|CLONE_SETTLS|CLONE_SYSVSEM|CLONE_FS|CLONE_THREAD|CLONE_VM|CLONE_FILES,syscall,1702119793.644,clone,,,
63,d6c907152ddc87a76c68b7eef6daa2e0,711e85fad0a8d268142f6e203dae89f0,WasGeneratedBy,1376,,syscall,1702119793.644,mmap (write),3.0,,
64,0ef366a12c22d68dcc35e410ab69719e,9b3a95bc82b0239cf9878d0ca894dc31,Used,1380,,syscall,1702119793.644,close,,,
65,711e85fad0a8d268142f6e203dae89f0,463300ec78aa5cf048742792ee5e5ef4,Used,1381,O_RDONLY,syscall,1702119793.644,open,,,
66,711e85fad0a8d268142f6e203dae89f0,463300ec78aa5cf048742792ee5e5ef4,Used,1383,,syscall,1702119793.644,close,,,
67,9048166b4e5c9e0cf117cb3cd467b460,711e85fad0a8d268142f6e203dae89f0,WasTriggeredBy,1384,CLONE_SIGHAND|CLONE_SETTLS|CLONE_SYSVSEM|CLONE_FS|CLONE_THREAD|CLONE_VM|CLONE_FILES,syscall,1702119793.648,clone,,,
